SchoolName,Category,Year,GraduateFTE,UndergradFTE,Total_FTE_Students,FTE_Student_Growth,Instruction,Instruction_PerFTE,Instruction_Pct,PublicService,PublicService_PerFTE,PublicService_Pct,AcademicSupport,AcademicSupport_PerFTE,AcademicSupport_Pct,StudentServices,StudentServices_PerFTE,StudentServices_Pct,InstitutionalSupport,InstitutionalSupport_PerFTE,InstitutionalSupport_Pct,AuxiliaryEnterprises,AuxiliaryEnterprises_PerFTE,AuxiliaryEnterprises_Pct,NetScholarships,NetScholarships_PerFTE,NetScholarships_Pct,Other,Other_PerFTE,Other_Pct,TotalExpenses,TotalExpenses_PerFTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central CT State Univ.,4,2004,31,7724,7755,0,46885602,6046,31,2715792,350,2,25255109,3257,17,14009923,1807,9,21145293,2727,14,5914985,763,4,7750635,5012,31,0,5012,31,150414226,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central CT State Univ.,4,2005,23,8030,8053,3.842682141,47329898,5877,23,3765145,468,2,16612275,2063,8,15485546,1923,7,20077973,2493,10,15722362,1952,7,53913687,4929,23,0,4929,23,209640469,4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction - Current year total (F0304_F1A_RV),Public service - Current year total (F0304_F1A_RV),Academic support - Current year total (F0304_F1A_RV),Student services - Current year total (F0304_F1A_RV),Institutional support - Current year total (F0304_F1A_RV),Scholarships and fellowships expenses -- Current year total (F0304_F1A_RV),Auxiliary enterprises -- Current year total (F0304_F1A_RV),Other expenses  deductions - Current year total (F0304_F1A_RV),Total expenses  deductions - Current year total (F0304_F1A_RV)
Central CT State Univ.,4,2006,29,8369,8398,4.28411772,51841931,6173,29,4823391,574,3,17354781,2067,10,15827070,1885,9,21783922,2594,12,17843565,2125,10,7622219,5436,29,0,5436,29,176126949,5436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28384884,669184,11925942,10191598,11427133,1266034,9551928,78785,88104794
Central CT State Univ.,4,2007,29,8156,8185,-2.536318171,53820329,6575,29,5119818,626,3,18266113,2232,10,17477329,2135,9,23565046,2879,13,21128916,2581,11,8388672,5591,29,0,5591,29,186188386,5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43704071,3418523,30792147,14797086,20510909,13057026,7362480,0.01,164912631
Central CT State Univ.,4,2008,29,8410,8439,3.10323763,57175946,6775,29,7221670,856,4,18709140,2217,9,18650595,2210,9,26001118,3081,13,22642335,2683,11,8928481,5812,29,0,5812,29,198875571,5812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18110210,786628,4316776,5456327,6798175,1526192,4037519,0.01,49725779
Central CT State Univ.,4,2009,29,8524,8553,1.350870956,60838310,7113,29,8061621,943,4,21949271,2566,10,19419495,2270,9,25428204,2973,12,23100585,2701,11,9256981,6104,29,0,6104,29,210116234,6104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16236568,0.01,4693989,5032478,5554485,225477,4379055,0.01,45597337
Central CT State Univ.,4,2010,39,8695,8734,2.116216532,77367760,8858,39,8433307,966,4,21333326,2443,11,23932884,2740,12,30596156,3503,15,25004893,2863,13,10318413,7525,39,0,7525,39,198411623,7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32545542,856168,11268825,6279786,13671477,4667605,10598280,0.01,100592475
Central CT State Univ.,4,2011,40,8782,8822,1.007556675,83522903,9468,40,9008470,1021,4,21842627,2476,11,25550556,2896,12,31715375,3595,15,23802106,2698,11,10521347,8078,40,0,8078,40,207970326,8078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30592718,394592,12483428,5726290,12088498,143392,4014248,0.01,77835552
Central CT State Univ.,4,2012,41,8647,8688,-1.518929948,81736345,9408,41,9531647,1097,5,21097435,2428,11,24861165,2862,12,29534208,3399,15,20883682,2404,10,10465013,7993,41,0,7993,41,200212069,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49405140,280823,10853296,12627403,17239687,8855477,12900690,0.01,131897909
Central CT State Univ.,4,2013,43,8543,8586,-1.174033149,89797032,10459,43,9521698,1109,5,16521244,1924,8,25984079,3026,13,30974039,3608,15,21356360,2487,10,10894889,8990,43,0,8990,43,207192289,8990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200872187,29480541,63932206,24958903,49439568,548932,102573786,0.01,716706319
Central CT State Univ.,4,2014,44,8426,8470,-1.351036571,97828452,11550,44,9031329,1066,4,19710927,2327,9,27868916,3290,12,33900029,4002,15,21777987,2571,10,11271080,9928,44,0,9928,44,223220211,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185139000,14844000,41014000,36794000,41726000,9851000,82257000,0.01,602550000
Central CT State Univ.,4,2015,44,8490,8534,0.755608028,107337177,12578,44,9162831,1074,4,21675277,2540,9,29524736,3460,12,36416254,4267,15,24229943,2839,10,11608648,10814,44,0,10814,44,242021788,10814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77381000,7256000,20897000,12934000,13002000,9070000,5545000,0.01,200735000
Central CT State Univ.,4,2016,45,8455,8500,-0.398406375,113572028,13361,45,8819846,1038,3,22265177,2619,9,31896373,3753,13,38464136,4525,15,12842526,1511,5,24675054,11451,45,0,11451,45,254781471,11451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39251000,1281000,12915000,6624000,16449000,4575000,13615000,0.01,137248000
Central CT State Univ.,4,2017,46,8245,8291,-2.458823529,116642045,14069,46,7368187,889,3,22546032,2719,9,32015106,3861,13,37328379,4502,15,12828695,1547,5,23705778,12046,46,0,12046,46,254262525,12046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55726000,2621000,15260000,12488000,17369000,3088000,5058000,0.01,162653000
Central CT State Univ.,4,2018,45,8296,8341,0.603063563,117823841,14126,45,6921815,830,3,22374896,2683,9,33151226,3974,13,38539029,4620,15,11224620,1346,4,27360490,12000,45,0,12000,45,259536344,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82987781,5847415,34935547,20913363,28347636,9112691,48448281,0.01,327454250
Rhode Island College,4,2004,34,6562,6596,0,33298248,5048,34,891061,135,1,11930832,1809,12,6238236,946,6,11164824,1693,11,4456056,676,5,9574041,4456,34,0,4456,34,98204826,4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2005,31,5992,6023,-8.687083081,33291306,5527,31,875177,145,1,10829183,1798,10,7021970,1166,7,15140297,2514,14,4906999,815,5,10391481,4862,31,0,4862,31,106016386,4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2006,33,5896,5929,-1.560684044,36818645,6210,33,816426,138,1,12027271,2029,11,7387122,1246,7,13366586,2254,12,4486357,757,4,10983199,5524,33,0,5524,33,111226255,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2007,32,6166,6198,4.53702142,36122336,5828,32,807512,130,1,11069910,1786,10,7333396,1183,6,16371685,2641,14,4376726,706,4,11261385,5180,32,0,5180,32,113836784,5180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2008,31,6295,6326,2.065182317,36500862,5770,31,697848,110,1,11035134,1744,9,7569457,1197,6,17382878,2748,15,4696757,742,4,12070786,5166,31,16789847,5166,31,119283602,5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2009,30,6318,6348,0.347771103,36954423,5821,30,713330,112,1,12061561,1900,10,7226361,1138,6,17804012,2805,15,5350557,843,4,12084907,5207,30,19272793,5207,30,122687290,5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2010,37,6635,6672,5.103969754,46991480,7043,37,855224,128,1,14366670,2153,11,8794228,1318,7,19659374,2947,15,5806613,870,5,15793686,6325,37,0,6325,37,127513969,6325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2011,38,6631,6669,-0.044964029,48812217,7319,38,1006914,151,1,14932617,2239,12,9209053,1381,7,18074280,2710,14,6507567,976,5,17903432,6607,38,0,6607,38,129843877,6607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2012,38,6547,6585,-1.259559154,51302768,7791,38,1320544,201,1,15494277,2353,11,9840576,1494,7,20650774,3136,15,6813273,1035,5,16761623,7050,38,0,7050,38,136660826,7050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2013,39,6422,6461,-1.883067578,54834552,8487,39,1514308,234,1,16859724,2609,12,10559861,1634,8,19252087,2980,14,6423977,994,5,17206362,7628,39,0,7628,39,140617297,7628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2014,39,6492,6531,1.083423619,54457242,8338,39,1473189,226,1,13227595,2025,9,10923835,1673,8,19290992,2954,14,7640628,1170,5,19876990,7544,39,0,7544,39,140738315,7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2015,40,6467,6507,-0.367478181,55426983,8518,40,1624238,250,1,13084837,2011,9,10760702,1654,8,18962376,2914,14,6602156,1015,5,19545720,7729,40,0,7729,40,139007376,7729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2016,39,6517,6556,0.753035193,57279897,8737,39,1709977,261,1,13803506,2105,9,10759229,1641,7,22152141,3379,15,19050453,2906,13,6587507,7980,39,0,7980,39,145599438,7980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2017,43,6343,6386,-2.593044539,64513708,10102,43,1796813,281,1,15339717,2402,10,12368590,1937,8,17532708,2745,12,18544632,2904,12,5549508,9237,43,0,9237,43,149235880,9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island College,4,2018,42,6136,6178,-3.257124961,65080700,10534,42,1246993,202,1,15425888,2497,10,12943851,2095,8,20830865,3372,13,20090065,3252,13,4780899,9520,42,0,9520,42,154927595,9520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2004,39,5527,5566,0,30602831,5498,39,512872,92,1,11104645,1995,14,6412905,1152,8,12083884,2171,15,137464,25,0,3931030,4164,39,0,4164,39,77966704,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2005,36,7359,7395,32.86022278,32624491,4412,36,403412,55,0,16440986,2223,18,6665085,901,7,13860791,1874,15,272850,37,0,8167038,3350,36,0,3350,36,89964960,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2006,36,7856,7892,6.720757268,37292034,4725,36,338770,43,0,16604800,2104,16,8192520,1038,8,17419644,2207,17,186374,24,0,8590470,3584,36,0,3584,36,103739845,3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2007,38,6540,6578,-16.64977192,42475278,6457,38,384608,58,0,16973190,2580,15,9203010,1399,8,19042527,2895,17,297766,45,0,8875151,5021,38,0,5021,38,111986974,5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2008,41,6581,6622,0.668896321,48136420,7269,41,395490,60,0,15848739,2393,13,10168339,1536,9,19694083,2974,17,375893,57,0,8678906,5654,41,0,5654,41,117729850,5654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2009,37,6797,6834,3.201449713,45449384,6650,37,366395,54,0,14138842,2069,12,11131037,1629,9,20094167,2940,16,4646651,680,4,7924553,5296,37,0,5296,37,121812311,5296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2010,46,6887,6933,1.448639157,54743468,7896,46,451296,65,0,13728557,1980,12,13232035,1909,11,21163812,3053,18,5734451,827,5,9123702,6443,46,0,6443,46,118177321,6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2011,46,6865,6911,-0.317322948,60027118,8686,46,527275,76,0,14234708,2060,11,13848991,2004,11,22229987,3217,17,5158876,746,4,14531904,7230,46,0,7230,46,130558859,7230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2012,45,6773,6818,-1.345680799,62157431,9117,45,618340,91,0,15351582,2252,11,15118683,2217,11,24262408,3559,18,4681159,687,3,15271965,7677,45,0,7677,45,137461568,7677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2013,44,6870,6914,1.408037548,62294536,9010,44,791276,114,1,15835704,2290,11,15795408,2285,11,25351950,3667,18,4906500,710,3,15405490,7761,44,0,7761,44,140380864,7761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2014,45,6753,6798,-1.677755279,67870576,9984,45,762656,112,1,16929172,2490,11,16783246,2469,11,26772195,3938,18,4825457,710,3,16504593,8666,45,0,8666,45,150447895,8666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2015,44,6757,6801,0.044130627,69958768,10287,44,752153,111,0,18162302,2671,11,18984029,2791,12,28671250,4216,18,5114858,752,3,17105766,8865,44,0,8865,44,158749126,8865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2016,36,6674,6710,-1.338038524,62105259,9256,36,1640439,244,1,15796526,2354,9,19277618,2873,11,25968389,3870,15,18060246,2692,11,3223287,7924,36,25752248,7924,36,171824012,7924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2017,36,6580,6616,-1.400894188,64462316,9743,36,1755239,265,1,16898704,2554,9,19222838,2906,11,27765194,4197,15,18784153,2839,10,3142113,8328,36,28614358,8328,36,180644915,8328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State Univ.,0,2018,36,6414,6450,-2.509068924,66193228,10263,36,1609283,250,1,17560046,2722,9,19189208,2975,10,26751743,4148,14,19638761,3045,11,3690163,8707,36,30801668,8707,36,185434100,8707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern CT State Univ.,4,2004,39,6939,6978,0,51481640,7378,39,443719,64,0,9668569,1386,7,12187320,1747,9,17111414,2452,13,8612009,1234,7,11776927,5428,39,0,5428,39,132238169,5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
